,purpose,sales
0,コストパフォーマンス,928650.7777777778
1,メイク(美容情報),818113.3333333334
2,セットキープ力,1184000.0
3,べたつかない,0.0
4,UVカットコスメ,0.0
5,ボリュームアップ(ヘア),1184000.0
6,パール・ラメ,0.0
7,うるおい,1895833.2647058824
8,低刺激・敏感肌,1362199.126984127
9,スキンケア(美容情報),818113.3333333334
10,髪 しっとり,1184000.0
11,ストレートヘア,1184000.0
12,毛穴,1953282.7575757576
13,さらさら,1184000.0
14,ツヤ,592000.0
15,香りがよい,0.0
16,痩身・スリミング,928650.7777777778
17,ヘア(美容情報),818113.3333333334
18,地肌ケア,1184000.0
19,角質ケア(ボディ),928650.7777777778
20,シェイプアップサポート,928650.7777777778
21,ムダ毛処理,928650.7777777778
22,角質ケア,1953282.7575757576
23,美白(ボディ),928650.7777777778
24,美白,1953282.7575757576
25,肌のハリ・弾力,928650.7777777778
26,顔のテカリ,1953282.7575757576
27,ボリュームダウン(ヘア),1184000.0
28,ボディ(美容情報),818113.3333333334
29,引き締め,1953282.7575757576
30,自然派化粧品・オーガニックコスメ,1438195.4444444445
31,ウェーブヘア,1184000.0
32,においが穏やか,1514412.8235294118
33,アンチエイジング,1895833.2647058824
34,ニキビ,1953282.7575757576
